Columna,Estaticos,Desaceledaro,Esperanza Futura,Emergentes,Grandes Creciendo
Agricultura_Cebollin_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Centeno_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Chachafruto_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Chamba_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Champiñon_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Chia_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Chiraran_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Chirimoya_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Cholupa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Chonque_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Chontaduro_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Cilantro_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Cimarron_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Ciruela_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Citricos_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Clavel_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Cocculus_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Coco_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Cocona_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Col_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Coliflor_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Copoazu_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Cordeline Cinta_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Corozo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Crisantemo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Curcuma_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Curcuma O Azafran_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Curuba_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Datil_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Durazno_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Durazno O Albaricoque_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Eneldo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Esparrago_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Esparto_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Espinaca_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Estropajo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Eucalipto Baby Blue_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Feijoa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Fique_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Fitosporum_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Flor De Jamaica_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Flor De Safari_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Flores Y Follajes_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Frambuesa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Fresa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Frijol_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Frutales Varios_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Garbanzo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Girasol_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Gladiolo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Granadilla_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Guama_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Guanabana_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Guandul_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Guatila_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Guayaba_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Gulupa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Gulupa O Cholupa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Haba_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Habichuela_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Helecho_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Heliconia_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Hierbabuena_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Higo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Higuerilla_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Hortalizas Varias_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Hortensia_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Iraca_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Jatropha_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Jengibre_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Laurel_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Lechuga_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Lenteja_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Lima_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Limon_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Limonaria_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Limonium_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Lulo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Macadamia_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Maiz_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Maiz Forrajero_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Malanga_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
"Agricultura_Malanga, Achin, Yota, Papa China, Bore_Efecto",No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Mamey_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Mamoncillo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Mandarina_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Mango_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Mangostino_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Mani_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Manzana_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Manzanilla_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Maracuya_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Marañon_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Melon_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Menta_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Mimbre_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Mora_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Morera_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Moringa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Nabo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Naranja_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Nispero_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Noni_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Oregano_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Orellana_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Orquidea_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Otras Hortalizas_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Otros Caducifoleos_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Otros Citricos_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Otros Cultivos Para Condimentos Y Bebidas Medicinales Y Aromaticas_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Otros Frutales_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Palma Amarga_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Palma De Aceite_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Palma Robelina_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Palmito_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Papa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Papaya_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Papayuela_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Papayuela -Babaco_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Patilla_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Pepa De Pan_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Pepino Cohombro_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Pepino Guiso_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Pera_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Perejil_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Pimenton_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Pimienta_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Pitahaya_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Piña_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Plantas Aromaticas_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Plantas Aromaticas Y Medicinales_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Plantas Medicinales_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Platano_Efecto,No significativo,No significativo,No significativo,No significativo,Negativo - Indeterminado
Agricultura_Poleo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Pomarrosa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Pomelo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Protea_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Puerro_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Quinua_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Rabano_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Rambutan_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Remolacha_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Repollo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Romero_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Rosa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Ruba_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Ruda_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Ruscus_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Sabila_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Sacha Inchi_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Sorgo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Soya_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Statice_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Stevia_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Tabaco_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Tabaco Negro_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Tabaco Rubio_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Tamarindo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Tangarana_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Tangelo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Te_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Tomate_Efecto,No significativo,No significativo,No significativo,No significativo,Negativo - Indeterminado
Agricultura_Tomate De Arbol_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Tomillo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Toronja_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Total_General_Efecto,No significativo,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Agricultura_Tree Fern_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Trigo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Uchuva_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Ulluco_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Umari_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Uva_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Uva Caimarona_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Vainilla_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Yacon_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Yuca_Efecto,No significativo,No significativo,No significativo,No significativo,Negativo - Indeterminado
Agricultura_Zanahoria_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Zapote_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Agricultura_Ñame_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Indice_internet_2020_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Seguridad_Abigeato__Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Seguridad_Amenazas__Efecto,No significativo,No significativo,No significativo,No significativo,Negativo - Indeterminado
Seguridad_Delitos_Sexuales__Efecto,No significativo,Negativo - Indeterminado,No significativo,No significativo,Negativo - Muy Alto
Seguridad_Extorsion__Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Seguridad_homicidios__Efecto,Negativo - Indeterminado,No significativo,No significativo,Positivo - Indeterminado,No significativo
Seguridad_T_Hurto__Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Seguridad_hurto_a_comercio__Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Seguridad_T_homicidios_en_accidente_de_transito__Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Seguridad_hurto_a_entidades_financieras__Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Seguridad_hurto_a_residencias__Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Seguridad_Hurto_Motocicleta__Efecto,No significativo,Negativo - Indeterminado,No significativo,Positivo - Alto,No significativo
Seguridad_Lensiones_accidente_Transito__Efecto,No significativo,No significativo,No significativo,No significativo,Negativo - Indeterminado
Seguridad_lesiones_personales__Efecto,No significativo,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Seguridad_pirateria_terrestre__Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Seguridad__Efecto,No significativo,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
TURISMO_AGENCIA_VIAJES_Efecto,Negativo - Indeterminado,Positivo - Indeterminado,No significativo,No significativo,Positivo - Indeterminado
TURISMO_ALOJAMIENTO_HOTEL_Efecto,Negativo - Indeterminado,Positivo - Indeterminado,No significativo,No significativo,Positivo - Indeterminado
TURISMO_RENTA_VEHICILOS_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
TURISMO_RESTAURANTE_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
TURISMO_ALOJAMIENTO_APARTAHOTEL_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
TURISMO_OPERADOR_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
TURISMO_ALOJAMIENTO_HOSTAL_Efecto,Negativo - Indeterminado,Positivo - Indeterminado,No significativo,No significativo,Positivo - Indeterminado
TURISMO_ALOJAMIENTO_CENTRO VACACIONAL_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
TURISMO_VIVIENDAS_FINCA_Efecto,Negativo - Muy Alto,No significativo,No significativo,No significativo,Positivo - Indeterminado
TURISMO_ALOJAMIENTO_OTROS_Efecto,Negativo - Indeterminado,Positivo - Indeterminado,No significativo,No significativo,Positivo - Indeterminado
TURISMO_GUIA_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
TURISMO_TRANSPORTE_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
TURISMO_ALOJAMIENTO_CAMPAMENTO_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
TURISMO_ALOJAMIENTO_ALBERGUE_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
TURISMO_ALOJAMIENTO_REFUGIO_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
TURISMO_PARQUE_TEMATICO_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
TURISMO_VIVIENDAS_APARTAMENTO_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Industria_x_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Industria_y_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,Positivo - Medio,Negativo - Indeterminado
Fiscal_Autofinanciacion__Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Fiscal_Dependencia_Nación__Efecto,Negativo - Muy Alto,Positivo - Indeterminado,No significativo,No significativo,Positivo - Indeterminado
Fiscal_Generación_Recursos__Efecto,Positivo - Indeterminado,Negativo - Indeterminado,No significativo,Positivo - Alto,Negativo - Indeterminado
Fiscal_Magnitud_Iinversión__Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Fiscal_Capacidad_ahorro__Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Fiscal_Indicador_desempeño_Fiscal__Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,Positivo - Alto,Negativo - Indeterminado
Ciudad_Ley_617_1_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Ciudad_Ley_617_2_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Ciudad_Ley_617_3_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Ciudad_Ley_617_4_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Ciudad_Ley_617_5_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Ciudad_Ley_617_6_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Ciudad_Ley_617_7_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Ciudad_Cerca_Ciudad_0_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Ciudad_Cerca_Ciudad_1_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Ciudades_Capitales_1_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Ciudades_Capitales_2_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Pobreza_Total__Efecto,Negativo - Muy Alto,Positivo - Indeterminado,Negativo - Alto,No significativo,Positivo - Indeterminado
Pobreza_Cabeceras__Efecto,Negativo - Muy Alto,Positivo - Indeterminado,Negativo - Alto,No significativo,Positivo - Indeterminado
Pobreza_Rural__Efecto,Negativo - Muy Alto,Positivo - Indeterminado,Negativo - Alto,No significativo,Positivo - Indeterminado
Probreza_Analfabetismo__Efecto,Negativo - Muy Alto,Positivo - Indeterminado,Negativo - Alto,No significativo,Positivo - Indeterminado
Probreza_Bajo logro educativo__Efecto,Negativo - Alto,Positivo - Indeterminado,Negativo - Medio,No significativo,Positivo - Indeterminado
